Municipio,Cargo,Numero_Candidato,Nome_Completo,Nome_Urna,Tipo_Agremiacao,Partido,UF_Nascimento,Mun_Nascimento,Idade_Posse,Genero,Grau_Instrucao,Estado_Civil,Declar_Racial,Ocupacao,Despesas_Max_Partido,Reeleicao,Declar_Bens
SANTO ANTÔNIO DO TAUÁ,VEREADOR,28145,LEIDIANA CRISTINA GARCIA LIMA,LEIDE LIMA,PARTIDO ISOLADO,PRTB,PA,SÃO CAETANO DE ODIVELAS,44,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,15743.9,N,S
PARAUAPEBAS,VEREADOR,40888,MARIA NEUZA SOUSA DE OLIVEIRA,MARIA NEUZA,PARTIDO ISOLADO,PSB,MA,IMPERATRIZ,43,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,OUTROS,211925.15,N,S
TOMÉ-AÇU,VEREADOR,25025,ELTON CARVALHO TAVARES,PROFESSOR ELTON TAVARES,PARTIDO ISOLADO,DEM,PA,LIMOEIRO DO AJURU,37,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PROFESSOR DE ENSINO MÉDIO,24048.38,N,S
PACAJÁ,VEREADOR,22222,MARIA RITA SILVA GOMES,MARIA RITA,PARTIDO ISOLADO,PL,MA,GRAJAÚ,51,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,AGRICULTOR,16538.56,N,S
BELÉM,VEREADOR,15003,GILBERTO DO ROSARIO SERRA,GILBERTO SERRA,PARTIDO ISOLADO,MDB,PA,BELÉM,37,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,OUTROS,438043.03,N,N
SÃO MIGUEL DO GUAMÁ,VEREADOR,77622,LAURO PAIXÃO SEABRA,BOLO DA LADEIRA,PARTIDO ISOLADO,SOLIDARIEDADE,PA,SÃO DOMINGOS DO CAPIM,45,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PRETA,SERVIDOR PÚBLICO MUNICIPAL,25615.83,N,S
ALENQUER,VEREADOR,18000,ALDA CELIA SENA DA SILVA,ENFERMEIRA ALDA,PARTIDO ISOLADO,REDE,PA,ALENQUER,39,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,SERVIDOR PÚBLICO MUNICIPAL,18687.88,N,S
SENADOR JOSÉ PORFÍRIO,VEREADOR,15200,VANEIDE DE SOUSA COSTA,VANEIDE,PARTIDO ISOLADO,MDB,PA,SENADOR JOSÉ PORFÍRIO,40,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,AGRICULTOR,18485.86,N,S
JACAREACANGA,VEREADOR,45450,IVAIR DATIE KARIKAFU,IVAIR KARIKAFU,PARTIDO ISOLADO,PSDB,PA,JACAREACANGA,35,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,AGENTE DE SAÚDE E SANITARISTA,12307.75,N,N
ANAJÁS,VEREADOR,90333,NAZARENO PEREIRA DE MATOS,NAZARENO BORGES,PARTIDO ISOLADO,PROS,PA,BREVES,39,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,COMERCIANTE,12307.75,N,S
BREU BRANCO,VEREADOR,13789,ALEXANDRE DA SILVA,ALEXANDRE VIGIA,PARTIDO ISOLADO,PT,PA,MOCAJUBA,42,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,VIGILANTE,32270.52,N,S
TUCUMÃ,VEREADOR,55345,LUCIENE PEREIRA DO NASCIMENTO,LUCIENE,PARTIDO ISOLADO,PSD,GO,CRISTIANÓPOLIS,45,FEMININO,LÊ E ESCREVE,CASADO(A),BRANCA,OUTROS,130384.6,N,N
ANANINDEUA,VEREADOR,12770,DIANE DA SILVA NOGUEIRA,DIANE NOGUEIRA,PARTIDO ISOLADO,PDT,PA,ANANINDEUA,43,FEMININO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,COMERCIANTE,115386.04,N,S
CASTANHAL,VEREADOR,10044,KALEBY VIEIRA DE BRITO,KALEBY AMIGO DO POVAO,PARTIDO ISOLADO,REPUBLICANOS,PI,PEDRO II,38,MASCULINO,LÊ E ESCREVE,SOLTEIRO(A),PARDA,OUTROS,53698.78,N,S
IPIXUNA DO PARÁ,VEREADOR,25666,ANDREA SILVA DE SOUSA,ANDREA DO BOSQUE,PARTIDO ISOLADO,DEM,PA,COLARES,40,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,OUTROS,12307.75,N,S
TERRA SANTA,VEREADOR,15115,LEANDRO ROCHA SOARES,LEANDRO ROCHA,PARTIDO ISOLADO,MDB,PA,TERRA SANTA,38,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),16463.89,N,N
SOURE,VEREADOR,22007,CLAUDIO ALEXANDRE DA SILVA BEZERRA,CLAUDINHO TONY SOM,PARTIDO ISOLADO,PL,PA,SOURE,39,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,"OPERADOR DE EQUIPAMENTO DE RÁDIO, TELEVISÃO, SOM E CINEMA",15977.14,N,S
OURÉM,VEREADOR,20000,GABRIEL ANGELO MATOS RODRIGUES,PROFESSOR GABRIEL,PARTIDO ISOLADO,PSC,PA,BELÉM,35,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,SERVIDOR PÚBLICO ESTADUAL,19335.49,N,S
TRACUATEUA,VEREADOR,14333,JORDAN DE JESUS MELO XAVIER,JORDAN XAVIER,PARTIDO ISOLADO,PTB,PA,TRACUATEUA,38,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,12307.75,N,S
BELÉM,VEREADOR,22322,ANTONIO MARCOS CORREA MARQUES,FOFÃO,PARTIDO ISOLADO,PL,PA,BELÉM,37,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,MECÂNICO DE MANUTENÇÃO,438043.03,N,S
AUGUSTO CORRÊA,VEREADOR,14014,LAILTON COSTA RABELO,LAILTON GARÇON,PARTIDO ISOLADO,PTB,PA,AUGUSTO CORRÊA,39,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,16318.14,N,S
BARCARENA,VEREADOR,70555,ALLAN DA COSTA GONÇALVES,ALLAN COSTA,PARTIDO ISOLADO,AVANTE,PA,BELÉM,35,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,"SUPERVISOR, INSPETOR E AGENTE DE COMPRAS E VENDAS",52834.7,N,S
BREVES,VEREADOR,11456,MARIANO PEREIRA GONÇALVES,PASTOR MARIO,PARTIDO ISOLADO,PP,PA,BREVES,48,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,OUTROS,65571.41,N,S
SALINÓPOLIS,VEREADOR,19678,LEANDRO SENA OLIVEIRA,LEANDRO CABELUDO,PARTIDO ISOLADO,PODE,PA,BELÉM,38,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,OUTROS,34729.59,N,N
PARAGOMINAS,VEREADOR,40125,MARIA DE NAZARE DOS REIS OLIVEIRA,MARIA DE NAZARÉ,PARTIDO ISOLADO,PSB,PA,PARAGOMINAS,50,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,ARTESÃO,33995.83,N,S
PACAJÁ,VEREADOR,45444,MARIA CLEONEI MEDEIROS DE SOUZA,CLEONEI ESP. DO MIGUEL NORONHA,PARTIDO ISOLADO,PSDB,PA,DOM ELISEU,37,FEMININO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),16538.56,N,S
INHANGAPI,VEREADOR,22789,MARLENE PINTO TRINDADE CIRILO,MARLENE,PARTIDO ISOLADO,PL,PA,INHANGAPI,47,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,DONA DE CASA,12307.75,N,N
BELÉM,VEREADOR,25607,LUCIANA HELENA ALEXANDRINO BITTANCOURT,LUCIANA PALHETA,PARTIDO ISOLADO,DEM,PA,BELÉM,36,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,ADMINISTRADOR,438043.03,N,S
REDENÇÃO,VEREADOR,40789,CARLOS COSTA GONÇALVES,CARLINHOS DA PASTORAL,PARTIDO ISOLADO,PSB,TO,GUARAÍ,40,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,VIGILANTE,46902.06,N,S
PIÇARRA,VEREADOR,12345,MANOEL ZITO SILVA,MONOELZITO,PARTIDO ISOLADO,PDT,MG,ALMENARA,49,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PRETA,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,27654.75,N,S
ALTAMIRA,VEREADOR,70007,SANDRA NANCY CORDEIRO,SANDRA NANCY,PARTIDO ISOLADO,AVANTE,MA,IMPERATRIZ,45,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,OUTROS,106019.2,N,S
ELDORADO DOS CARAJÁS,VEREADOR,55111,DANIELLE VALENTE DOS SANTOS DA SILVA,DANIELLE VALENTE,PARTIDO ISOLADO,PSD,PA,BELÉM,39,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,27706.06,N,S
IPIXUNA DO PARÁ,VEREADOR,22333,SILVANA APARECIDA CUNHA DOS SANTOS,SILVANA DA SAÚDE,PARTIDO ISOLADO,PL,ES,LINHARES,39,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,SERVIDOR PÚBLICO MUNICIPAL,12307.75,N,S
MONTE ALEGRE,VEREADOR,55005,ALINE PRISCILA DA SILVA FERNANDES,PROFESSORA ALINE,PARTIDO ISOLADO,PSD,PA,MOJUÍ DOS CAMPOS,36,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,PROFESSOR DE ENSINO FUNDAMENTAL,22445.61,N,S
ALENQUER,VEREADOR,40258,ED CARLOS CHAVES DE OLIVEIRA,ED CARLOS CHAVES,PARTIDO ISOLADO,PSB,PA,ALENQUER,44,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,OUTROS,18687.88,N,S
SOURE,VEREADOR,45123,OSIANE BARBOSA DE OLIVEIRA,OSIANE BARBOSA,PARTIDO ISOLADO,PSDB,PA,SOURE,38,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,OUTROS,15977.14,N,S
TOMÉ-AÇU,VEREADOR,19133,MARTA MORAIS SILVA,MARTA,PARTIDO ISOLADO,PODE,PA,TOMÉ-AÇU,38,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,TRABALHADOR RURAL,24048.38,N,S
IGARAPÉ-MIRI,VEREADOR,55111,RAIMUNDO DA CONCEIÇÃO NAHUM,NETO NAHUM,PARTIDO ISOLADO,PSD,PA,IGARAPÉ-MIRI,36,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,VEREADOR,16625.55,S,S
PARAGOMINAS,VEREADOR,40666,SALOMÃO DOS SANTOS CRISTO,PROFESSOR SALOMÃO CRISTO,PARTIDO ISOLADO,PSB,PA,ANANINDEUA,35,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,OUTROS,33995.83,N,S
SÃO MIGUEL DO GUAMÁ,VEREADOR,11321,ROSIVALDO BARBOSA DE LIMA,LORO DO PATAUA,PARTIDO ISOLADO,PP,PA,SÃO MIGUEL DO GUAMÁ,39,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,OUTROS,25615.83,N,N
ACARÁ,VEREADOR,45777,MARIA AUXILIADORA DIAS DA TRINDADE,MARIA AUXILIADORA,PARTIDO ISOLADO,PSDB,PA,ACARÁ,40,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,PROFESSOR DE ENSINO FUNDAMENTAL,22325.78,N,S
ABAETETUBA,VEREADOR,70770,ADAIR JOSÉ GOMES FERREIRA,ADAIR,PARTIDO ISOLADO,AVANTE,PA,ABAETETUBA,37,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,AGRICULTOR,37269.99,N,N
VIGIA,VEREADOR,15774,JANILTON NUNES DA SILVA,JAJÁ,PARTIDO ISOLADO,MDB,PB,INGÁ,58,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,DIVORCIADO(A),PARDA,"EMBALADOR, EMPACOTADOR E ASSEMELHADOS",17170.87,N,S
PIÇARRA,VEREADOR,13100,DERNIVAL GONÇALVES BARROS,DR. DERNIVAL BARROS,PARTIDO ISOLADO,PT,PE,SALGUEIRO,46,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,VETERINÁRIO,27654.75,N,S
CASTANHAL,VEREADOR,45949,IVANEIDE DE JESUS BARBOSA,IVANEIDE BORBOSA,PARTIDO ISOLADO,PSDB,PA,CASTANHAL,47,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,OUTROS,53698.78,N,S
BENEVIDES,VEREADOR,25318,WELITON CANCIO DE FARIAS,LABUIÚ,PARTIDO ISOLADO,DEM,PA,BELÉM,37,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PRETA,COMERCIANTE,39638.66,N,S
SAPUCAIA,VEREADOR,55111,MANOEL FELIPE DO NASCIMENTO FILHO,FELIPE RAÇÕES,PARTIDO ISOLADO,PSD,CE,PEDRA BRANCA,38,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,TÉCNICO EM AGRONOMIA E AGRIMENSURA,12307.75,N,S
ITUPIRANGA,VEREADOR,45444,FÁBIO VIEIRA BARRETO DE CARVALHO,FABIO BARRETO,PARTIDO ISOLADO,PSDB,PA,MARABÁ,35,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,PROFESSOR DE ENSINO FUNDAMENTAL,25692.1,N,S
CUMARU DO NORTE,VEREADOR,51444,IRONILTON AUGUSTO DA SILVA,IRONILTO,PARTIDO ISOLADO,PATRIOTA,GO,ITAPURANGA,40,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,PRODUTOR AGROPECUÁRIO,12307.75,N,S
PAU D'ARCO,VEREADOR,55545,RONALDO BARBOSA DOS SANTOS,RONALDO DA MARAJOARA,PARTIDO ISOLADO,PSD,TO,PRESIDENTE KENNEDY,38,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,OUTROS,12307.75,N,S
CAPITÃO POÇO,VEREADOR,14177,JOSE MARCOS DO NASCIMENTO,MARKINHO PEDREIRO,PARTIDO ISOLADO,PTB,PA,CAPITÃO POÇO,38,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,TRABALHADOR DE CONSTRUÇÃO CIVIL,33157.12,N,S
MOJU,VEREADOR,65015,ALEXANDRE DE LIMA MENEZES,ALEXANDRE MENEZES,PARTIDO ISOLADO,PC do B,PA,CAPANEMA,38,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,VEREADOR,12307.75,N,S
SENADOR JOSÉ PORFÍRIO,VEREADOR,55222,RAIMUNDA GOMES DA SILVA,RAIMUNDA DAS BONECAS,PARTIDO ISOLADO,PSD,CE,CRATO,58,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PRETA,ALFAIATE E COSTUREIRO,18485.86,N,S
ALTAMIRA,VEREADOR,10200,LUIS FERNANDES RAMOS,LUIZINHO DA FURACÃO,PARTIDO ISOLADO,REPUBLICANOS,PA,VISEU,54,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,OUTROS,106019.2,N,S
SANTARÉM,VEREADOR,40566,EVERALDO LOPES DE SOUSA,EVERALDO SOUSA,PARTIDO ISOLADO,PSB,PA,SANTARÉM,36,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,OUTROS,83396.64,N,N
SÃO FRANCISCO DO PARÁ,VEREADOR,25000,FELICIANA DO SOCORRO COELHO DE ARAUJO,FELICIANA ARAUJO,PARTIDO ISOLADO,DEM,PA,SÃO FRANCISCO DO PARÁ,45,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,16994.03,S,S
PORTEL,VEREADOR,27777,NAUDIR DA PONTE DE SOUZA,NAUDIR PONTE,PARTIDO ISOLADO,DC,PA,PORTEL,39,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,PEDAGOGO,12307.75,N,S
SANTA LUZIA DO PARÁ,VEREADOR,40147,JOSE LEONILDO MOURA DE SOUZA,LEONE,PARTIDO ISOLADO,PSB,PA,CAPANEMA,37,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,23585.83,N,S
SANTARÉM,VEREADOR,25777,SAULO BATISTA MIRANDA,SAULO MIRANDA,PARTIDO ISOLADO,DEM,PA,SANTARÉM,33,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,OUTROS,83396.64,N,S
MARABÁ,VEREADOR,10789,THALISSON RIBEIRO MARTINS,THALISSON RIBEIRO,PARTIDO ISOLADO,REPUBLICANOS,GO,PORANGATU,32,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",238660.11,N,S
BRAGANÇA,VEREADOR,55133,MARIA DE JESUS DA SILVA,MARIA DA COLETA SELETIVA,PARTIDO ISOLADO,PSD,PA,TRACUATEUA,49,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,CATADOR DE RECICLÁVEIS,55696.8,N,S
TRACUATEUA,VEREADOR,15678,NELMA RIBEIRO DA SILVA MACIEL,DR. NELMA,PARTIDO ISOLADO,MDB,PA,TRACUATEUA,39,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,FISIOTERAPEUTA E TERAPEUTA OCUPACIONAL,12307.75,N,S
BRAGANÇA,VEREADOR,51777,SALATIEL RODRIGUES DOS SANTOS,SALATIEL MOTOTAXISTA,PARTIDO ISOLADO,PATRIOTA,PA,BRAGANÇA,36,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,MOTOBOY,55696.8,N,S
IPIXUNA DO PARÁ,VEREADOR,65444,JEREMIAS VIEIRA DIAS,JEREMIAS,PARTIDO ISOLADO,PC do B,PA,OURÉM,41,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,12307.75,N,S
ANANINDEUA,VEREADOR,50468,TAICILENE MORAES DE LIMA,THAYS LIMA,PARTIDO ISOLADO,PSOL,PA,CURRALINHO,44,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PRETA,OUTROS,115386.04,N,S
RIO MARIA,VEREADOR,20456,JOSÉ FLAVIO DA SILVA,FLAVINHO,PARTIDO ISOLADO,PSC,PA,RIO MARIA,37,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PRETA,VIGILANTE,12307.75,N,S
SANTA ISABEL DO PARÁ,VEREADOR,90000,NILSON CLEBER DE MIRANDA SOUSA,NILSON KLEBER,PARTIDO ISOLADO,PROS,PA,SANTA ISABEL DO PARÁ,37,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,EMPRESÁRIO,33247.26,N,S
MARABÁ,VEREADOR,22580,WILLEASMAR PEREIRA DA SILVA,WILLIAN DA DIJÉ,PARTIDO ISOLADO,PL,PA,SÃO JOÃO DO ARAGUAIA,37,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,AGRICULTOR,238660.11,N,S
SÃO FRANCISCO DO PARÁ,VEREADOR,14600,MARIA DE NAZARE SILVA SANTOS,IRMÃ NAZARÉ,PARTIDO ISOLADO,PTB,PA,CASTANHAL,45,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,AGRICULTOR,16994.03,N,S
OURILÂNDIA DO NORTE,VEREADOR,40777,CLAUDECY RODRIGUES DA SILVA,CLAUDECY DA AUTOESCOLA,PARTIDO ISOLADO,PSB,PA,CONCEIÇÃO DO ARAGUAIA,40,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,MOTORISTA PARTICULAR,91132.44,N,S
RIO MARIA,VEREADOR,65131,COSMO MARQUES DE SOUSA,COSMO MARQUES,PARTIDO ISOLADO,PC do B,PA,RIO MARIA,37,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),BRANCA,OUTROS,12307.75,N,S
GURUPÁ,VEREADOR,55789,JORGE CARLOS BARBOSA DIAS,JORGE CARLOS,PARTIDO ISOLADO,PSD,PA,GURUPÁ,41,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,SERVIDOR PÚBLICO MUNICIPAL,20276.13,N,S
TOMÉ-AÇU,VEREADOR,28333,MARCINDA ESTUMANO SANTOS,MARCINDA DO DINHO SOM,PARTIDO ISOLADO,PRTB,PA,TOMÉ-AÇU,41,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,AGRICULTOR,24048.38,N,S
SÃO GERALDO DO ARAGUAIA,VEREADOR,17888,WANDERY MARTINS BARBOSA,DERY,PARTIDO ISOLADO,PSL,PI,UNIÃO,41,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,OUTROS,12307.75,N,S
CAMETÁ,VEREADOR,15500,JOSÉ ELBEM CRUZ FARIAS,ELBEM FARIAS,PARTIDO ISOLADO,MDB,PA,CAMETÁ,38,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,AGRICULTOR,32740.39,N,N
SANTARÉM NOVO,VEREADOR,23123,SILEIA ALVES DA SILVA,SILEIA ALVES,PARTIDO ISOLADO,CIDADANIA,PA,VISEU,41,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,DONA DE CASA,19813.2,N,S
NOVA IPIXUNA,VEREADOR,55151,EDINALDO LIMA DE BRITO,PORCA,PARTIDO ISOLADO,PSD,MA,COLINAS,45,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,18979.08,N,S
ALMEIRIM,VEREADOR,20000,BENEDITO BRAGA DO ESPIRITO SANTO,BENEDITO DO CONSELHO,PARTIDO ISOLADO,PSC,PA,ALMEIRIM,40,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,OUTROS,15285.23,N,S
INHANGAPI,VEREADOR,15122,ELINALDO DE SÁ COSTA,ELINHO,PARTIDO ISOLADO,MDB,PA,INHANGAPI,41,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,APOSENTADO (EXCETO SERVIDOR PÚBLICO),12307.75,N,S
TUCURUÍ,VEREADOR,51125,DARLEI FERNANDES BAIA,MINEIRO,PARTIDO ISOLADO,PATRIOTA,PA,TUCURUÍ,37,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,MONTADOR DE ESTRUTURA METÁLICA,77517.41,N,S
SANTANA DO ARAGUAIA,VEREADOR,23222,EDSON PEREIRA CAMPOS,EDSON DO ÔNIBUS,PARTIDO ISOLADO,CIDADANIA,TO,COLINAS DO TOCANTINS,46,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,MOTORISTA PARTICULAR,16951.89,N,S
TRACUATEUA,VEREADOR,23001,ALCILENE DA SILVA NEVES,ALCILENE NEVES,PARTIDO ISOLADO,CIDADANIA,PA,TRACUATEUA,35,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,PEDAGOGO,12307.75,N,S
ELDORADO DOS CARAJÁS,VEREADOR,55123,JOSEMIR DA SILVA LIMA,JOSEMIR LIMA,PARTIDO ISOLADO,PSD,PA,MARABÁ,38,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,AGENTE ADMINISTRATIVO,27706.06,N,S
MOJU,VEREADOR,12223,CLEYTON RODRIGUES SILVA,SORRISO,PARTIDO ISOLADO,PDT,PA,TOMÉ-AÇU,37,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,FISCAL,12307.75,N,S
TRACUATEUA,VEREADOR,14000,JAILTON DE JESUS BANDEIRA SANTOS,JAILTON BANDEIRA O CÚRIO,PARTIDO ISOLADO,PTB,PA,TRACUATEUA,37,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,OUTROS,12307.75,N,S
SANTA MARIA DAS BARREIRAS,VEREADOR,55233,ARISTONEIDE PEREIRA AMORIM OLIVEIRA,BRANCA AMORIM,PARTIDO ISOLADO,PSD,MA,MONÇÃO,40,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,COMERCIANTE,12307.75,N,S
SÃO FÉLIX DO XINGU,VEREADOR,20444,CARLOS DIAS OLIVEIRA,CARLOS DA SAUDE,PARTIDO ISOLADO,PSC,PA,XINGUARA,37,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,SERVIDOR PÚBLICO MUNICIPAL,53959.13,N,S
CHAVES,VEREADOR,14444,ELIEZIO NOBRE MEDEIROS,ELIEZIO DO SONHO MEU,PARTIDO ISOLADO,PTB,PA,MELGAÇO,47,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,"MARINHEIRO CIVIL, CANOEIRO, EMBARCADO E ASSEMELHADOS",34629.84,N,S
MARACANÃ,VEREADOR,15111,RAFAEL RAMOS COSTA,RAFAEL RAIOL,PARTIDO ISOLADO,MDB,PA,MARACANÃ,37,MASCULINO,SUPERIOR INCOMPLETO,SOLTEIRO(A),PARDA,COMERCIANTE,17886.82,N,S
PARAGOMINAS,VEREADOR,23888,JORGE WELLINGTON CORREA QUADROS,JORGINHO QUADROS,PARTIDO ISOLADO,CIDADANIA,PA,BRAGANÇA,37,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,AGENTE ADMINISTRATIVO,33995.83,N,S
SANTA MARIA DO PARÁ,VEREADOR,51555,RODRIGO ARAUJO DE MENEZES,RODRIGÃO,PARTIDO ISOLADO,PATRIOTA,PA,SÃO MIGUEL DO GUAMÁ,43,MASCULINO,LÊ E ESCREVE,SOLTEIRO(A),PARDA,AGRICULTOR,30015.81,N,S
DOM ELISEU,VEREADOR,10200,MARIA CARVALHO RODRIGUES,MARIA CARVALHO,PARTIDO ISOLADO,REPUBLICANOS,MA,AMARANTE DO MARANHÃO,40,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,COMERCIÁRIO,25493.45,N,N
