Municipio,Cargo,Tipo_Agremiacao,Partido,UF_Nascimento,Idade_Posse,Genero,Grau_Instrucao,Estado_Civil,Declar_Racial,Reeleicao,Declar_Bens,Valor_Total_Declarado,Situacao
SANTANA DO ARAGUAIA,VEREADOR,PARTIDO ISOLADO,PSD,PA,34,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,N,S,2863.9,SUPLENTE
NOVO REPARTIMENTO,VEREADOR,PARTIDO ISOLADO,PC do B,PA,26,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,N,1000.0,NÃO ELEITO
CONCÓRDIA DO PARÁ,VEREADOR,PARTIDO ISOLADO,REPUBLICANOS,PA,31,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,2300.0,SUPLENTE
ANANINDEUA,VEREADOR,PARTIDO ISOLADO,PC do B,PA,35,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,1409.5,NÃO ELEITO
ITAITUBA,VEREADOR,PARTIDO ISOLADO,PSB,PA,44,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,N,S,13102.41,SUPLENTE
BREVES,VEREADOR,PARTIDO ISOLADO,MDB,PA,36,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,2086.2,SUPLENTE
SÃO JOÃO DO ARAGUAIA,VEREADOR,PARTIDO ISOLADO,PT,MA,27,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,S,1898.6,SUPLENTE
CAPANEMA,VEREADOR,PARTIDO ISOLADO,PTB,PA,46,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,11500.0,ELEITO POR QP
SÃO FÉLIX DO XINGU,VEREADOR,PARTIDO ISOLADO,PT,PA,35,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,898.6,NÃO ELEITO
NOVA IPIXUNA,VEREADOR,PARTIDO ISOLADO,PTB,PA,29,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,200.0,SUPLENTE
FLORESTA DO ARAGUAIA,VEREADOR,PARTIDO ISOLADO,PL,PA,43,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,N,S,444.0,SUPLENTE
ANANINDEUA,VEREADOR,PARTIDO ISOLADO,PL,CE,45,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,1150.0,SUPLENTE
IRITUIA,VEREADOR,PARTIDO ISOLADO,PSC,PA,40,FEMININO,SUPERIOR INCOMPLETO,CASADO(A),BRANCA,N,S,370.0,SUPLENTE
ALMEIRIM,VEREADOR,PARTIDO ISOLADO,MDB,PA,69,MASCULINO,LÊ E ESCREVE,VIÚVO(A),SEM INFORMAÇÃO,N,S,700.0,SUPLENTE
CAMETÁ,VEREADOR,PARTIDO ISOLADO,PSD,PA,27,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,N,S,1000.0,SUPLENTE
AVEIRO,VEREADOR,PARTIDO ISOLADO,MDB,PA,29,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,N,S,334.45,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,PL,PA,33,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,N,N,20436.35,SUPLENTE
ANANINDEUA,VEREADOR,PARTIDO ISOLADO,DEM,PA,32,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,N,80.0,SUPLENTE
NOVO PROGRESSO,VEREADOR,PARTIDO ISOLADO,PSDB,PA,29,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,S,4800.0,SUPLENTE
ABAETETUBA,VEREADOR,PARTIDO ISOLADO,PV,PA,26,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,1043.0,SUPLENTE
IGARAPÉ-AÇU,VEREADOR,PARTIDO ISOLADO,PTB,PA,27,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,N,500.0,NÃO ELEITO
BELÉM,VEREADOR,PARTIDO ISOLADO,PL,PA,47,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,N,S,17925.000000000004,ELEITO POR QP
BELÉM,VEREADOR,PARTIDO ISOLADO,SOLIDARIEDADE,PA,40,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,5200.0,SUPLENTE
IGARAPÉ-AÇU,VEREADOR,PARTIDO ISOLADO,PSDB,PA,33,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,750.0,ELEITO POR QP
BENEVIDES,VEREADOR,PARTIDO ISOLADO,PSB,PA,33,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,N,S,9873.6,ELEITO POR QP
CASTANHAL,VEREADOR,PARTIDO ISOLADO,PDT,PA,39,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,S,N,1159.9,SUPLENTE
BREVES,VEREADOR,PARTIDO ISOLADO,CIDADANIA,PA,47,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,320.0,SUPLENTE
PRAINHA,VEREADOR,PARTIDO ISOLADO,PDT,AP,58,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,N,S,662.0,ELEITO POR MÉDIA
SANTA LUZIA DO PARÁ,VEREADOR,PARTIDO ISOLADO,MDB,PA,32,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,S,S,1916.56,SUPLENTE
SÃO JOÃO DO ARAGUAIA,VEREADOR,PARTIDO ISOLADO,PSDB,PA,36,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,DIVORCIADO(A),PARDA,N,S,800.0,SUPLENTE
ALTAMIRA,VEREADOR,PARTIDO ISOLADO,PSC,BA,60,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,2750.35,SUPLENTE
MARITUBA,VEREADOR,PARTIDO ISOLADO,PSB,PA,48,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,1488.0,SUPLENTE
BUJARU,VEREADOR,PARTIDO ISOLADO,REPUBLICANOS,PA,37,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,S,S,3394.9,SUPLENTE
ANAJÁS,VEREADOR,PARTIDO ISOLADO,PROS,PA,43,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,S,700.0,NÃO ELEITO
ALTAMIRA,VEREADOR,PARTIDO ISOLADO,PSC,PA,47,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,2700.0,SUPLENTE
VITÓRIA DO XINGU,VEREADOR,PARTIDO ISOLADO,SOLIDARIEDADE,PA,35,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,850.0,NÃO ELEITO
ORIXIMINÁ,VEREADOR,PARTIDO ISOLADO,REPUBLICANOS,PA,49,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,N,S,1000.0,NÃO ELEITO
ULIANÓPOLIS,VEREADOR,PARTIDO ISOLADO,PSD,MA,41,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,S,10416.0,SUPLENTE
NOVO REPARTIMENTO,VEREADOR,PARTIDO ISOLADO,PSC,PA,47,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,N,7668.0,SUPLENTE
SALVATERRA,VEREADOR,PARTIDO ISOLADO,PP,PA,42,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,500.0,NÃO ELEITO
TAILÂNDIA,VEREADOR,PARTIDO ISOLADO,PSB,RS,40,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,320.0,NÃO ELEITO
SALVATERRA,VEREADOR,PARTIDO ISOLADO,PMB,RN,47,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,N,S,1200.0,NÃO ELEITO
PONTA DE PEDRAS,VEREADOR,PARTIDO ISOLADO,PSD,PA,52,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,N,S,1429.7,SUPLENTE
SÃO JOÃO DE PIRABAS,VEREADOR,PARTIDO ISOLADO,PSB,PA,28,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,150.0,SUPLENTE
ALENQUER,VEREADOR,PARTIDO ISOLADO,PP,PA,39,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,364.35,SUPLENTE
SÃO MIGUEL DO GUAMÁ,VEREADOR,PARTIDO ISOLADO,PDT,PA,43,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,221.95,ELEITO POR QP
CURIONÓPOLIS,VEREADOR,PARTIDO ISOLADO,CIDADANIA,MA,51,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,S,4399.900000000001,NÃO ELEITO
SOURE,VEREADOR,PARTIDO ISOLADO,PTB,PA,34,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,789.0,SUPLENTE
ANAJÁS,VEREADOR,PARTIDO ISOLADO,PSDB,PA,46,MASCULINO,LÊ E ESCREVE,CASADO(A),BRANCA,N,S,700.0,SUPLENTE
MONTE ALEGRE,VEREADOR,PARTIDO ISOLADO,PSDB,PA,41,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,1710.0,SUPLENTE
RURÓPOLIS,VEREADOR,PARTIDO ISOLADO,PSC,PA,40,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,N,S,3638.0,SUPLENTE
SÃO JOÃO DE PIRABAS,VEREADOR,PARTIDO ISOLADO,DEM,PA,26,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,750.0,SUPLENTE
BREVES,VEREADOR,PARTIDO ISOLADO,PROS,PA,35,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,3602.04,ELEITO POR MÉDIA
BELÉM,VEREADOR,PARTIDO ISOLADO,CIDADANIA,PA,37,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,N,S,3700.01,SUPLENTE
SENADOR JOSÉ PORFÍRIO,VEREADOR,PARTIDO ISOLADO,PSD,PA,38,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PRETA,N,S,2459.5000000000005,SUPLENTE
OURILÂNDIA DO NORTE,VEREADOR,PARTIDO ISOLADO,MDB,TO,60,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,N,S,3202.0,SUPLENTE
CURUÁ,VEREADOR,PARTIDO ISOLADO,PSDB,PA,52,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,1500.0,SUPLENTE
BREU BRANCO,VEREADOR,PARTIDO ISOLADO,PSC,MA,65,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,S,1700.0,SUPLENTE
MARITUBA,VEREADOR,PARTIDO ISOLADO,PTB,PA,49,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,1980.0,SUPLENTE
TAILÂNDIA,VEREADOR,PARTIDO ISOLADO,PSB,PA,59,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PRETA,N,S,250.0,NÃO ELEITO
MOCAJUBA,VEREADOR,PARTIDO ISOLADO,PSDB,PA,52,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),BRANCA,N,S,769.9,NÃO ELEITO
SÃO MIGUEL DO GUAMÁ,VEREADOR,PARTIDO ISOLADO,PSDB,PA,46,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,N,S,600.0,NÃO ELEITO
OEIRAS DO PARÁ,VEREADOR,PARTIDO ISOLADO,PP,PA,41,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,N,1460.0,ELEITO POR QP
JACUNDÁ,VEREADOR,PARTIDO ISOLADO,PDT,PA,21,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,N,1559.62,SUPLENTE
SALVATERRA,VEREADOR,PARTIDO ISOLADO,PTB,PA,49,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,1517.5,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,DEM,PA,35,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,N,2333.9999999999995,SUPLENTE
NOVO REPARTIMENTO,VEREADOR,PARTIDO ISOLADO,PSD,MA,65,MASCULINO,LÊ E ESCREVE,CASADO(A),PARDA,N,S,2323.0,SUPLENTE
IRITUIA,VEREADOR,PARTIDO ISOLADO,PL,PA,55,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),PARDA,S,S,1516.21,SUPLENTE
SALVATERRA,VEREADOR,PARTIDO ISOLADO,PDT,PA,61,MASCULINO,LÊ E ESCREVE,CASADO(A),BRANCA,N,S,1200.0,NÃO ELEITO
ANAJÁS,VEREADOR,PARTIDO ISOLADO,MDB,PA,36,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,N,S,400.0,SUPLENTE
SOURE,VEREADOR,PARTIDO ISOLADO,PT,PA,55,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),BRANCA,N,S,898.6,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,PV,PA,42,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,2285.71,NÃO ELEITO
BRASIL NOVO,VEREADOR,PARTIDO ISOLADO,PSC,PR,46,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,S,S,1893.0,ELEITO POR QP
SÃO DOMINGOS DO CAPIM,VEREADOR,PARTIDO ISOLADO,PP,PA,45,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,S,N,3327.67,SUPLENTE
ITAITUBA,VEREADOR,PARTIDO ISOLADO,PL,SC,61,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,N,S,1335.45,SUPLENTE
SÃO DOMINGOS DO ARAGUAIA,VEREADOR,PARTIDO ISOLADO,PT,MA,45,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,4094.27,NÃO ELEITO
CURIONÓPOLIS,VEREADOR,PARTIDO ISOLADO,PSDB,GO,35,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,S,3400.0,ELEITO POR MÉDIA
ANAPU,VEREADOR,PARTIDO ISOLADO,MDB,BA,46,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,S,5530.91,ELEITO POR QP
MUANÁ,VEREADOR,PARTIDO ISOLADO,PT,PA,38,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,894.27,NÃO ELEITO
PACAJÁ,VEREADOR,PARTIDO ISOLADO,PSDB,BA,56,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,S,400.0,SUPLENTE
CHAVES,VEREADOR,PARTIDO ISOLADO,PT,PA,40,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,S,1094.2699999999998,NÃO ELEITO
SÃO FÉLIX DO XINGU,VEREADOR,PARTIDO ISOLADO,PSD,GO,52,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,S,S,6690.0,SUPLENTE
ANANINDEUA,VEREADOR,PARTIDO ISOLADO,MDB,GO,55,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,41850.85,ELEITO POR MÉDIA
ORIXIMINÁ,VEREADOR,PARTIDO ISOLADO,PSDB,PA,36,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,S,S,10000.0,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,PSC,PA,51,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,N,2539.8,SUPLENTE
CASTANHAL,VEREADOR,PARTIDO ISOLADO,PV,PA,44,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PRETA,N,S,99.68,SUPLENTE
JURUTI,VEREADOR,PARTIDO ISOLADO,PSDB,PA,38,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,S,512.0,SUPLENTE
SOURE,VEREADOR,PARTIDO ISOLADO,PSDB,PA,38,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,N,S,5151.95,SUPLENTE
BELÉM,VEREADOR,PARTIDO ISOLADO,PSDB,PA,59,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,N,S,5000.0,SUPLENTE
ORIXIMINÁ,VEREADOR,PARTIDO ISOLADO,PT,PA,67,MASCULINO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,N,S,878.0,NÃO ELEITO
MÃE DO RIO,VEREADOR,PARTIDO ISOLADO,MDB,PA,54,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),PARDA,N,S,3099.95,SUPLENTE
BREVES,VEREADOR,PARTIDO ISOLADO,PSD,PA,49,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,SOLTEIRO(A),PARDA,N,N,1619.7,SUPLENTE
BREVES,VEREADOR,PARTIDO ISOLADO,PSB,PA,62,FEMININO,ENSINO FUNDAMENTAL COMPLETO,SEPARADO(A) JUDICIALMENTE,PARDA,N,S,5403.0,ELEITO POR QP
CACHOEIRA DO ARARI,VEREADOR,PARTIDO ISOLADO,PP,PA,53,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PRETA,N,N,1000.0,NÃO ELEITO
SANTA LUZIA DO PARÁ,VEREADOR,PARTIDO ISOLADO,PL,PA,45,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,S,S,1035.0,SUPLENTE
SANTARÉM,VEREADOR,PARTIDO ISOLADO,PSDB,PA,40,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),BRANCA,N,N,16708.71,SUPLENTE
PIÇARRA,VEREADOR,PARTIDO ISOLADO,PODE,GO,44,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,152.4,NÃO ELEITO
AUGUSTO CORRÊA,VEREADOR,PARTIDO ISOLADO,PT,PA,34,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,N,550.0,SUPLENTE
ORIXIMINÁ,VEREADOR,PARTIDO ISOLADO,PSD,PA,43,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),INDÍGENA,N,N,3600.0,SUPLENTE
PACAJÁ,VEREADOR,PARTIDO ISOLADO,PP,BA,57,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,N,N,2612.0,NÃO ELEITO
PLACAS,VEREADOR,PARTIDO ISOLADO,MDB,BA,56,MASCULINO,LÊ E ESCREVE,DIVORCIADO(A),PARDA,N,S,9063.5,SUPLENTE
SÃO JOÃO DE PIRABAS,VEREADOR,PARTIDO ISOLADO,MDB,PA,62,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,N,S,35.0,ELEITO POR MÉDIA
NOVO PROGRESSO,VEREADOR,PARTIDO ISOLADO,PATRIOTA,RS,61,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),BRANCA,N,S,3050.0,SUPLENTE
ANAJÁS,VEREADOR,PARTIDO ISOLADO,PSDB,PA,42,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),BRANCA,N,S,700.0,SUPLENTE
PONTA DE PEDRAS,VEREADOR,PARTIDO ISOLADO,PROS,PA,43,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,S,1240.0,SUPLENTE
TRACUATEUA,VEREADOR,PARTIDO ISOLADO,DEM,PA,72,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,S,1000.0,NÃO ELEITO
PRAINHA,VEREADOR,PARTIDO ISOLADO,MDB,PA,57,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,S,S,3730.45,ELEITO POR QP
BARCARENA,VEREADOR,PARTIDO ISOLADO,PV,PA,52,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,S,3451.95,SUPLENTE
CASTANHAL,VEREADOR,PARTIDO ISOLADO,PDT,PA,38,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,S,S,5500.0,SUPLENTE
JACUNDÁ,VEREADOR,PARTIDO ISOLADO,PODE,MA,44,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PRETA,N,S,2731.0,SUPLENTE
ITAITUBA,VEREADOR,PARTIDO ISOLADO,MDB,CE,64,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,S,5479.31,ELEITO POR QP
BELTERRA,VEREADOR,PARTIDO ISOLADO,DEM,AM,49,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,2580.0,SUPLENTE
VIGIA,VEREADOR,PARTIDO ISOLADO,PT,PA,46,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,898.6,SUPLENTE
JURUTI,VEREADOR,PARTIDO ISOLADO,PSD,PA,60,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,S,4150.0,SUPLENTE
ANANINDEUA,VEREADOR,PARTIDO ISOLADO,PSB,PA,61,MASCULINO,SUPERIOR COMPLETO,DIVORCIADO(A),BRANCA,N,S,1200.0,SUPLENTE
TUCURUÍ,VEREADOR,PARTIDO ISOLADO,MDB,MA,47,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,N,S,173.5,SUPLENTE
ALTAMIRA,VEREADOR,PARTIDO ISOLADO,PSDB,MA,50,MASCULINO,LÊ E ESCREVE,CASADO(A),PARDA,N,N,2425.0,SUPLENTE
BUJARU,VEREADOR,PARTIDO ISOLADO,CIDADANIA,PA,45,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PRETA,N,S,650.0,NÃO ELEITO
ALENQUER,VEREADOR,PARTIDO ISOLADO,MDB,PA,46,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PARDA,N,S,670.0,SUPLENTE
BREVES,VEREADOR,PARTIDO ISOLADO,PT,PA,57,FEMININO,LÊ E ESCREVE,SOLTEIRO(A),BRANCA,N,S,1423.05,NÃO ELEITO
ANANINDEUA,VEREADOR,PARTIDO ISOLADO,PC do B,PA,57,FEMININO,ENSINO MÉDIO COMPLETO,CASADO(A),BRANCA,N,S,1000.0,NÃO ELEITO
MARAPANIM,VEREADOR,PARTIDO ISOLADO,MDB,PA,46,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,150.0,SUPLENTE
SÃO DOMINGOS DO CAPIM,VEREADOR,PARTIDO ISOLADO,PSDB,PA,62,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,CASADO(A),PARDA,N,S,80.0,SUPLENTE
MARITUBA,VEREADOR,PARTIDO ISOLADO,PSB,PA,54,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,N,7841.8,SUPLENTE
BREVES,VEREADOR,PARTIDO ISOLADO,CIDADANIA,PA,43,FEMININO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,6932.22,ELEITO POR MÉDIA
BREU BRANCO,VEREADOR,PARTIDO ISOLADO,PSD,MA,48,FEMININO,SUPERIOR COMPLETO,CASADO(A),PARDA,N,S,10010.06,ELEITO POR MÉDIA
XINGUARA,VEREADOR,PARTIDO ISOLADO,PSD,TO,47,MASCULINO,ENSINO MÉDIO COMPLETO,CASADO(A),PRETA,S,S,1519.0,SUPLENTE
ALTAMIRA,VEREADOR,PARTIDO ISOLADO,PSB,PA,38,MASCULINO,SUPERIOR COMPLETO,CASADO(A),PRETA,N,S,4400.0,ELEITO POR QP
SANTARÉM,VEREADOR,PARTIDO ISOLADO,AVANTE,PA,55,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,2250.0,SUPLENTE
ALENQUER,VEREADOR,PARTIDO ISOLADO,PSC,PA,28,MASCULINO,SUPERIOR COMPLETO,CASADO(A),BRANCA,N,S,720.0,SUPLENTE
TRAIRÃO,VEREADOR,PARTIDO ISOLADO,PL,MS,41,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,N,S,3770.0,SUPLENTE
MUANÁ,VEREADOR,PARTIDO ISOLADO,PL,PA,48,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,881.9,ELEITO POR QP
ABAETETUBA,VEREADOR,PARTIDO ISOLADO,CIDADANIA,PA,47,MASCULINO,ENSINO MÉDIO INCOMPLETO,CASADO(A),BRANCA,N,N,360.0,NÃO ELEITO
ABAETETUBA,VEREADOR,PARTIDO ISOLADO,PV,PA,34,MASCULINO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,1164.94,SUPLENTE
PAU D'ARCO,VEREADOR,PARTIDO ISOLADO,PODE,GO,48,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,N,S,2000.0,SUPLENTE
ACARÁ,VEREADOR,PARTIDO ISOLADO,PT,PA,47,FEMININO,ENSINO MÉDIO COMPLETO,SOLTEIRO(A),PARDA,N,S,1616.27,SUPLENTE
ALENQUER,VEREADOR,PARTIDO ISOLADO,PDT,PA,67,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,DIVORCIADO(A),BRANCA,N,S,1003.35,SUPLENTE
SANTARÉM,VEREADOR,PARTIDO ISOLADO,CIDADANIA,PA,49,FEMININO,ENSINO MÉDIO COMPLETO,DIVORCIADO(A),PARDA,N,S,3500.0,NÃO ELEITO
CURRALINHO,VEREADOR,PARTIDO ISOLADO,PSD,PA,45,FEMININO,LÊ E ESCREVE,SOLTEIRO(A),PARDA,N,N,3874.96,ELEITO POR MÉDIA
BELÉM,VEREADOR,PARTIDO ISOLADO,SOLIDARIEDADE,PA,48,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,SOLTEIRO(A),PARDA,N,S,1000.0,SUPLENTE
CAMETÁ,VEREADOR,PARTIDO ISOLADO,PSC,PA,60,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),BRANCA,N,S,9971.8,ELEITO POR MÉDIA
MOCAJUBA,VEREADOR,PARTIDO ISOLADO,MDB,PA,44,MASCULINO,ENSINO MÉDIO INCOMPLETO,SOLTEIRO(A),PARDA,N,S,2135.0,SUPLENTE
ABAETETUBA,VEREADOR,PARTIDO ISOLADO,PSOL,PA,50,MASCULINO,SUPERIOR COMPLETO,SOLTEIRO(A),PARDA,N,S,5547.0,SUPLENTE
TUCURUÍ,VEREADOR,PARTIDO ISOLADO,SOLIDARIEDADE,TO,44,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,CASADO(A),PARDA,N,S,1400.0,NÃO ELEITO
